Date,Open,High,Low,Close,Adj Close,Volume
2017-06-02,63.880001,64.680000,63.700001,64.570000,62.167942,7840400
2017-06-05,64.849998,64.870003,64.180000,64.269997,61.879101,6808900
2017-06-06,64.220001,64.349998,64.050003,64.160004,61.773197,5448400
2017-06-07,64.129997,64.300003,63.340000,63.500000,61.137749,8365000
2017-06-08,63.439999,63.580002,62.020000,62.240002,59.924618,11255600
2017-06-09,62.369999,62.480000,61.869999,62.189999,59.876476,11240500
2017-06-12,61.799999,61.990002,60.630001,61.290001,59.009964,11071600
2017-06-13,61.119999,61.259998,60.590000,60.919998,58.653725,9384900
2017-06-14,60.669998,60.820000,59.860001,60.270000,58.027912,9703300
2017-06-15,59.919998,60.279999,59.509998,60.090000,57.854607,7516000
2017-06-16,59.889999,60.160000,59.470001,60.139999,57.902744,11522400
2017-06-19,60.349998,61.000000,60.110001,60.900002,58.634472,6778000
2017-06-20,60.980000,61.000000,59.700001,59.860001,57.633160,6985700
2017-06-21,60.000000,60.310001,59.709999,59.959999,57.729435,6027600
2017-06-22,60.090000,60.099998,59.400002,59.509998,57.296177,5602000
2017-06-23,59.759998,60.169998,59.580002,59.810001,57.585018,6469500
2017-06-26,60.020000,60.150002,59.330002,59.639999,57.421345,5674600
2017-06-27,59.540001,59.689999,58.810001,58.959999,56.766640,5652400
2017-06-28,59.060001,59.250000,58.799999,59.180000,56.978462,5419200
2017-06-29,59.169998,59.180000,57.959999,58.360001,56.188961,7421200
2017-06-30,58.680000,58.950001,58.290001,58.310001,56.140823,8117100
2017-07-03,58.900002,58.990002,58.250000,58.250000,56.083050,4575300
2017-07-05,58.430000,58.500000,57.799999,57.939999,55.784580,7773600
2017-07-06,57.799999,57.919998,57.400002,57.599998,55.457230,8886600
2017-07-07,57.790001,58.360001,57.540001,58.040001,55.880867,7278300
2017-07-10,58.180000,58.349998,57.750000,57.810001,55.659424,4832100
2017-07-11,57.910000,58.080002,57.529999,57.900002,55.746071,5422300
2017-07-12,58.209999,58.709999,58.020000,58.540001,56.362259,7141900
2017-07-13,58.799999,58.869999,58.119999,58.380001,56.208221,8460200
2017-07-14,58.400002,58.919998,58.279999,58.759998,56.574081,5441400
2017-07-17,58.730000,58.869999,58.279999,58.330002,56.160084,6774500
2017-07-18,58.119999,58.580002,57.689999,58.209999,56.044540,7857500
2017-07-19,58.150002,58.410000,57.900002,58.110001,55.948265,8203600
2017-07-20,58.410000,58.840000,58.000000,58.029999,55.871243,10546700
2017-07-21,57.919998,58.259998,57.830002,57.980000,55.823101,6717200
2017-07-24,58.000000,58.250000,57.930000,58.020000,55.861610,7442600
2017-07-25,58.220001,58.840000,57.980000,58.549999,56.371891,7933100
2017-07-26,58.799999,58.840000,57.779999,57.939999,55.784580,8775900
2017-07-27,58.250000,59.660000,57.930000,59.500000,57.286552,23286700
2017-07-28,55.230000,55.959999,53.410000,54.000000,51.991158,53454800
